school_name,status,active_url,num_pdfs,,,
CALIFORNIA STATE UNIVERSITY LONG BEACH,404,0,0,,,
CALIFORNIA STATE UNIVERSITY MARITIME ACADEMY,200,1,,,,
CALIFORNIA STATE UNIVERSITY SAN MARCOS,200,1,,,,
CALIFORNIA STATE UNIVERSITY SAN MARCOS CORPORATION,200,1,,,,
"CALIFORNIA STATE UNIVERSITY, CHANNEL ISLANDS",200,1,,,,
"CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS",200,1,,,,
"CALIFORNIA STATE UNIVERSITY, EAST BAY",200,1,,,,
"CALIFORNIA STATE UNIVERSITY, FRESNO",200,1,,,,
"CALIFORNIA STATE UNIVERSITY, FULLERTON",200,1,,,,
"CALIFORNIA STATE UNIVERSITY, LOS ANGELES",200,1,,,,
"CALIFORNIA STATE UNIVERSITY, MONTEREY BAY",200,1,,,,
"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE",200,1,,,,
"CALIFORNIA STATE UNIVERSITY, SACRAMENTO",200,1,,,,
"CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO",200,1,,,,
"CALIFORNIA STATE UNIVERSITY, SONOMA",200,1,,,,
"CALIFORNIA STATE UNIVERSITY, STANISLAUS",200,1,,,,
CALIFORNIA TECHNICAL ACADEMY,406,0,0,,,
CALIFORNIA WESTERN SCHOOL OF LAW,200,1,,,,
CAPSTONE COLLEGE,403,0,0,,,
CAREER ACADEMY OF BEAUTY,403,0,0,,,
"CAREER CARE INSTITUTE, INC",200,1,,,,
"CAREER DEVELOPMENT INSTITUTE, INC.",200,1,,,,
CAREER NETWORKS INSTITUTE,403,0,0,,,
CASA LOMA COLLEGE,200,1,,,,
CENTER FOR EMPLOYMENT TRAINING,200,1,,,,
CENTRAL CALIFORNIA SCHOOL OF CONTINUING EDUCATION,200,1,,,,
CENTRAL COAST COLLEGE,200,1,,,,
CERRITOS COMMUNITY COLLEGE,200,1,,,,
CERRO COSO COMMUNITY COLLEGE,200,1,,,,
CERT INSTITUTE OF COSMETOLOGY LLC,200,1,,,,
CHABOT-LAS POSITAS COMMUNITY COLLEGE DISTRICT-CHABOT COLLEGE,200,1,,,,
CHAFFEY COMMUNITY COLLEGE,200,1,,,,
CHAPMAN UNIVERSITY,200,1,,,,
CHARLES A. JONES CAREER AND EDUCATION CENTER,200,1,,,,
CHARLES R. DREW UNIVERSITY OF MEDICINE AND SCIENCE,200,1,,,,
CINTA AVEDA INSTITUTE INC,200,1,,,,
CITRUS COMMUNITY COLLEGE DISTRICT,200,1,,,,
CLAREMONT GRADUATE UNIVERSITY,403,0,0,,,
CLAREMONT MCKENNA COLLEGE,200,1,,,,
CLOVIS COMMUNITY COLLEGE,200,1,,,,
"COACHELLA VALLEY BEAUTY COLLEGE, INC.",200,1,,,,
COAST COMMUNITY COLLEGE DISTRICT: COASTLINE COLLEGE,200,1,,,,
COAST COMMUNITY COLLEGE DISTRICT: GOLDEN WEST COLLEGE,200,1,,,,
COAST COMMUNITY COLLEGE DISTRICT: ORANGE COAST COLLEGE,200,1,,,,
COASTLINE BEAUTY COLLEGE,"HTTPSConnectionPool(host='www.coastlinebeauty.edu', port=443): Max retries exceeded with url: /caresdisclosure (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1125)')))",0,0,,,
COGSWELL POLYTECHNICAL COLLEGE,403,0,0,,,
COLLEGE OF THE DESERT,200,1,,,,
COLLEGE OF THE SEQUOIAS FOUNDATION,200,1,,,,
COLUMBIA COLLEGE,200,1,,,,
COMMUNITY BASED EDUCATION & DEVELOPMENT D.B.A CBD COLLEGE,403,0,0,,,
COMMUNITY CHRISTIAN COLLEGE,200,1,,,,
COMMUNITY ENHANCEMENT SERVICES,200,1,,,,
COMPTON COMMUNITY COLLEGE DISTRICT,"HTTPSConnectionPool(host='www.compton.edu', port=443): Max retries exceeded with url: /studentservices/financialaid/ComptonCollegeCARESActProgram.aspx (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000020B2A63B3D0>, 'Connection to www.compton.edu timed out. (connect timeout=15)'))",0,0,,,
"CONCORDE CAREER COLLEGES, INC",200,1,,,,
"CONCORDE CAREER COLLEGES, INC.",200,1,,,,
CONCORDIA UNIVERSITY,200,1,,,,
CONTRA COSTA COMMUNITY COLLEGE DISTRICT,200,1,,,,
CONTRA COSTA MEDICAL CAREER COLLEGE,200,1,,,,
COPPER MOUNTAIN COMMUNITY COLLEGE DISTRICT,403,0,0,,,
COSUMNES RIVER COLLEGEE,200,1,,,,
CUYAMACA COLLEGE,200,1,,,,
"DELL'ARTE, INC",200,1,,,,
